2026-04-03 13:00:12.420 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (417ms)
2026-04-03 13:00:12.568 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (147ms)
2026-04-03 13:00:12.604 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (26ms)
2026-04-03 13:00:13.056 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (447ms)
2026-04-03 20:40:20.822 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (694ms)
2026-04-03 20:40:21.606 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (752ms)
2026-04-03 20:40:22.097 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (475ms)
2026-04-03 20:40:22.841 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (717ms)
2026-04-03 20:40:23.292 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (440ms)
2026-04-03 20:40:24.052 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (733ms)
2026-04-03 20:40:24.803 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (725ms)
2026-04-03 20:40:24.848 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_add_user.py::TestAddUser::test_add_user_duplicate_username | Context: {}
2026-04-03 20:40:25.283 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (432ms)
2026-04-03 20:40:26.017 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (709ms)
2026-04-03 20:40:26.762 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (719ms)
2026-04-03 20:40:26.785 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_add_user.py::TestAddUser::test_add_user_duplicate_phonenumber | Context: {}
2026-04-03 20:40:27.218 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (427ms)
2026-04-03 20:40:27.967 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (722ms)
2026-04-03 20:40:28.698 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (705ms)
2026-04-03 20:40:28.715 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_add_user.py::TestAddUser::test_add_user_duplicate_email | Context: {}
2026-04-03 20:40:28.774 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (37ms)
2026-04-03 20:40:29.198 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (419ms)
2026-04-03 20:40:29.926 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (701ms)
2026-04-03 20:40:30.384 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (446ms)
2026-04-03 20:40:31.123 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (712ms)
2026-04-03 20:40:31.566 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (431ms)
2026-04-03 20:40:32.287 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (694ms)
2026-04-03 20:40:32.733 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (435ms)
2026-04-03 20:40:33.467 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/system/user -> 200 (707ms)
2026-04-03 20:40:33.914 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (432ms)
